20.00;68483
20.50;45842
21.00;70293
21.50;51780
22.00;49085
22.50;60226
23.00;56132
23.50;57236
24.00;61905
24.50;68188
25.00;53501
25.50;80918
26.00;59326
26.50;54740
27.00;73596
27.50;81592
28.00;67444
28.50;61107
29.00;84789
29.50;60481
30.00;76845
30.50;58973
31.00;86112
31.50;71652
32.00;62304
32.50;83478
33.00;63263
33.50;66839
34.00;102871
34.50;99739
35.00;69483
35.50;80565
36.00;89332
36.50;84823
37.00;107999
37.50;95253
38.00;67124
38.50;87703
39.00;110793
39.50;92902
40.00;95267
40.50;82972
41.00;98312
41.50;104509
42.00;96062
42.50;110975
43.00;90826
43.50;120837
44.00;86342
44.50;115428
45.00;94343
45.50;131962
46.00;117034
46.50;110271
47.00;104319
47.50;118399
48.00;121171
48.50;97089
49.00;118424
49.50;91897
50.00;113538
50.50;124909
51.00;106964
51.50;147066
52.00;99514
52.50;104709
53.00;143047
53.50;107256
54.00;91139
54.50;107515
55.00;135775
55.50;111393
56.00;107511
56.50;145204
57.00;101124
57.50;164369
58.00;134011
58.50;137203
59.00;153148
59.50;95970
60.00;136809
60.50;134495
61.00;169837
61.50;118034
62.00;119809
62.50;121086
63.00;165057
63.50;159252
64.00;139410
64.50;102567
65.00;134713
65.50;126067
66.00;136160
66.50;119045
67.00;112987
67.50;117244
68.00;163726
68.50;126828
69.00;169000
69.50;173868
70.00;193491
70.50;133700
71.00;164179
71.50;181092
72.00;136097
72.50;128590
73.00;150062
73.50;130549
74.00;128764
74.50;176453
75.00;183947
75.50;132522
76.00;195437
76.50;203148
77.00;207043
77.50;185790
78.00;157605
78.50;176391
79.00;172051
79.50;129601
80.00;163078
80.50;195022
81.00;137499
81.50;180775
82.00;127342
82.50;192009
83.00;174525
83.50;152288
84.00;164953
84.50;220437
85.00;230950
85.50;185467
86.00;209202
86.50;134695
87.00;231732
87.50;163963
88.00;155664
88.50;198937
89.00;192266
89.50;199067
90.00;241927
90.50;211795
91.00;231431
91.50;189972
92.00;159972
92.50;174510
93.00;198174
93.50;176556
94.00;149140
94.50;251581
95.00;188920
95.50;231282
96.00;245374
96.50;173803
97.00;209261
97.50;200424
98.00;262177
98.50;243902
99.00;251707
99.50;162971
100.00;151555
100.50;265060
101.00;218824
101.50;150678
102.00;213368
102.50;155347
103.00;222251
103.50;286469
104.00;256266
104.50;217275
105.00;254142
105.50;239650
106.00;169743
106.50;289105
107.00;286046
107.50;183632
108.00;254624
108.50;220139
109.00;245745
109.50;247333
110.00;192449
110.50;288780
111.00;173494
111.50;231123
112.00;229417
112.50;181255
113.00;283255
113.50;249011
114.00;176530
114.50;169620
115.00;199589
115.50;173493
116.00;287921
116.50;272030
117.00;229152
117.50;271474
118.00;241332
118.50;210744
119.00;264710
119.50;275863
120.00;274753
120.50;227606
121.00;327912
121.50;182536
122.00;276217
122.50;250664
123.00;181170
123.50;235802
124.00;283710
124.50;291485
125.00;288491
125.50;288936
126.00;232707
126.50;247003
127.00;211976
127.50;208053
128.00;230297
128.50;343345
129.00;307879
129.50;313698
130.00;188253
130.50;325462
131.00;259256
131.50;196463
132.00;264264
132.50;204239
133.00;283562
133.50;220447
134.00;246208
134.50;273918
135.00;218347
135.50;320745
136.00;327641
136.50;274988
137.00;233108
137.50;334689
138.00;276709
138.50;328298
139.00;256879
139.50;330896
140.00;321865
140.50;274984
141.00;286753
141.50;208225
142.00;383995
142.50;384543
143.00;277220
143.50;343951
144.00;235368
144.50;224524
145.00;343991
145.50;357981
146.00;281300
146.50;364098
147.00;358068
147.50;301836
148.00;385475
148.50;370476
149.00;282047
149.50;226780
150.00;272076
150.50;229944
151.00;403269
151.50;235788
152.00;251234
152.50;264859
153.00;339326
153.50;411552
154.00;227006
154.50;220000
155.00;245983
155.50;305964
156.00;419670
156.50;411026
157.00;234655
157.50;375079
158.00;310907
158.50;293469
159.00;254431
159.50;309057
160.00;306604
160.50;282563
161.00;367113
161.50;229246
162.00;393659
162.50;333934
163.00;266811
163.50;396414
164.00;360046
164.50;235821
165.00;424265
165.50;306641
166.00;298448
166.50;316711
167.00;311428
167.50;268454
168.00;312911
168.50;360421
169.00;389902
169.50;392843
170.00;250152
170.50;444570
171.00;349988
171.50;437282
172.00;313733
172.50;356248
173.00;437269
173.50;280480
174.00;446835
174.50;255147
175.00;364784
175.50;275611
176.00;281543
176.50;299269
177.00;408660
177.50;264885
178.00;478174
178.50;270654
179.00;349630
179.50;462990
180.00;261919
180.50;472513
181.00;428954
181.50;313829
182.00;402306
182.50;434470
183.00;373894
183.50;429608
184.00;353692
184.50;441989
185.00;358522
185.50;317645
186.00;332465
186.50;458606
187.00;411415
187.50;371489
188.00;290273
188.50;335087
189.00;439903
189.50;348790
190.00;486308
190.50;507429
191.00;461724
191.50;336731
192.00;353712
192.50;425751
193.00;466603
193.50;366828
194.00;296002
194.50;303947
195.00;296028
195.50;431996
196.00;402835
196.50;290325
197.00;439538
197.50;521622
198.00;398006
198.50;434007
199.00;343511
199.50;327866
